Date,Open,High,Low,Close,Volume,Name,Score
2006-01-03,82.45,82.55,80.81,82.06,11715200,IBM,0.89916460454304
2006-01-04,82.2,82.5,81.33,81.95,9840600,IBM,0.971785326039665
2006-01-05,81.4,82.9,81.0,82.5,7213500,IBM,0.9749704950399847
2006-01-06,83.95,85.03,83.41,84.95,8197400,IBM,0.8637136188450675
2006-01-09,84.1,84.25,83.38,83.73,6858200,IBM,0.9545722727519822
2006-01-10,83.15,84.12,83.12,84.07,5701000,IBM,0.3366674740406401
2006-01-11,84.37,84.81,83.4,84.17,5776500,IBM,0.20410397354076903
2006-01-12,83.82,83.96,83.4,83.57,4926500,IBM,0.8961003274264839
2006-01-13,83.0,83.45,82.5,83.17,6921700,IBM,0.679392080474826
2006-01-17,82.8,83.16,82.54,83.0,8761700,IBM,0.7503112362802657
2006-01-18,84.0,84.7,83.52,84.46,11032800,IBM,0.9975436628903769
2006-01-19,84.14,84.39,83.02,83.09,6484000,IBM,0.9205355739272256
2006-01-20,83.04,83.05,81.25,81.36,8614500,IBM,0.17646746088024534
2006-01-23,81.33,81.92,80.92,81.41,6114100,IBM,0.561495321083136
2006-01-24,81.39,82.15,80.8,80.85,6069000,IBM,0.9654143535083796
2006-01-25,81.05,81.62,80.61,80.91,6374300,IBM,0.10884862554693009
2006-01-26,81.5,81.65,80.59,80.72,7810200,IBM,0.036906573991655645
2006-01-27,80.75,81.77,80.75,81.02,6103400,IBM,0.5620365732024171
2006-01-30,80.21,81.81,80.21,81.63,5325100,IBM,0.9343682370835728
2006-01-31,81.5,82.0,81.17,81.3,6771600,IBM,0.6112755712644754
2006-02-01,80.9,82.24,80.65,81.94,5417100,IBM,0.6855204928146849
2006-02-02,81.45,81.59,80.9,81.23,6198000,IBM,0.9299922010055218
2006-02-03,80.55,80.77,79.72,79.97,9852700,IBM,0.8451509975009912
2006-02-06,79.94,79.95,78.93,79.51,9568600,IBM,0.9610682005107433
2006-02-07,79.5,80.19,79.3,79.85,5253600,IBM,0.5031376436662267
2006-02-08,80.58,80.9,80.24,80.8,5030500,IBM,0.6922276069813644
2006-02-09,80.4,80.8,79.5,80.4,7609200,IBM,0.9737566380917335
2006-02-10,80.4,81.46,80.2,81.33,5371900,IBM,0.6504847843014159
2006-02-13,81.33,81.91,80.18,80.44,5257400,IBM,0.39671913986350615
2006-02-14,80.55,81.45,80.35,81.09,6075500,IBM,0.0026179280870713972
2006-02-15,80.86,81.5,80.5,80.85,5052000,IBM,0.12344071001459378
2006-02-16,80.68,80.91,80.13,80.91,5310500,IBM,0.14033488227826174
2006-02-17,80.91,81.03,80.13,80.71,5298900,IBM,0.04484752730974895
2006-02-21,80.1,80.75,79.97,80.5,5839100,IBM,0.8104408267657116
2006-02-22,80.0,81.65,79.97,81.35,5294300,IBM,0.27872773857370736
2006-02-23,81.2,81.34,80.04,80.2,4979900,IBM,0.6617650250760839
2006-02-24,80.65,80.65,79.85,80.1,3904100,IBM,0.1093875824694327
2006-02-27,79.97,80.89,79.95,80.63,3787200,IBM,0.8546580685888828
2006-02-28,80.1,80.55,79.71,80.24,5960700,IBM,0.45120706152585777
2006-03-01,80.2,80.81,79.78,79.9,5211600,IBM,0.9030947964617208
2006-03-02,79.55,80.21,79.54,79.94,4418800,IBM,0.5766277317776279
2006-03-03,79.51,80.83,79.51,79.96,4354400,IBM,0.5427387797288087
2006-03-06,79.91,80.64,79.9,80.0,4709500,IBM,0.2700816315224601
2006-03-07,80.01,80.79,79.86,80.29,4330800,IBM,0.49786865264688973
2006-03-08,80.25,81.6,80.25,81.14,5570000,IBM,0.6287803009421923
2006-03-09,81.26,81.98,80.8,81.02,4310700,IBM,0.7862714664692286
2006-03-10,81.03,82.25,81.03,81.57,4787200,IBM,0.850706657677116
2006-03-13,81.56,82.4,81.45,81.93,4571400,IBM,0.9978034119332709
2006-03-14,81.51,82.99,81.47,82.88,4532700,IBM,0.27806188739026383
2006-03-15,82.65,83.76,82.64,83.38,5370400,IBM,0.21171227093943223
2006-03-16,83.43,83.72,82.61,82.87,4299500,IBM,0.09936304754612557
2006-03-17,83.35,83.41,82.82,83.3,6414500,IBM,0.8999110392298426
2006-03-20,83.11,83.75,82.99,83.58,3870300,IBM,0.24444999994447958
2006-03-21,83.82,84.99,83.58,83.81,7404300,IBM,0.8013896389362594
2006-03-22,83.35,84.68,83.35,84.45,4968600,IBM,0.19419681240649111
2006-03-23,84.23,84.27,82.93,83.2,5105800,IBM,0.1984165859708411
2006-03-24,82.99,83.72,82.99,83.36,4198800,IBM,0.23245035902229283
2006-03-27,82.98,83.26,82.58,83.08,3910100,IBM,0.6230691340585413
2006-03-28,82.86,83.39,82.29,82.43,4508800,IBM,0.5430821964675011
2006-03-29,82.2,83.55,82.2,83.13,4633800,IBM,0.25507953452781384
2006-03-30,82.88,83.7,82.83,83.2,4467000,IBM,0.3500461525752089
2006-03-31,82.95,83.6,82.29,82.47,5862000,IBM,0.02965019621136078
