Date,Open,High,Low,Close,Volume,Name,Score
2006-01-03,82.45,82.55,80.81,82.06,11715200,IBM,0.11274455503230363
2006-01-04,82.2,82.5,81.33,81.95,9840600,IBM,0.4272814091341759
2006-01-05,81.4,82.9,81.0,82.5,7213500,IBM,0.364548184586437
2006-01-06,83.95,85.03,83.41,84.95,8197400,IBM,0.8501248422366933
2006-01-09,84.1,84.25,83.38,83.73,6858200,IBM,0.04193610465127606
2006-01-10,83.15,84.12,83.12,84.07,5701000,IBM,0.5887292856100033
2006-01-11,84.37,84.81,83.4,84.17,5776500,IBM,0.24759051556207723
2006-01-12,83.82,83.96,83.4,83.57,4926500,IBM,0.45678909541748824
2006-01-13,83.0,83.45,82.5,83.17,6921700,IBM,0.6339305487007677
2006-01-17,82.8,83.16,82.54,83.0,8761700,IBM,0.6006207088291178
2006-01-18,84.0,84.7,83.52,84.46,11032800,IBM,0.7487368650158979
2006-01-19,84.14,84.39,83.02,83.09,6484000,IBM,0.6775082518615563
2006-01-20,83.04,83.05,81.25,81.36,8614500,IBM,0.5706688794600682
2006-01-23,81.33,81.92,80.92,81.41,6114100,IBM,0.5394357217801659
2006-01-24,81.39,82.15,80.8,80.85,6069000,IBM,0.8921094983761256
2006-01-25,81.05,81.62,80.61,80.91,6374300,IBM,0.48154491540745437
2006-01-26,81.5,81.65,80.59,80.72,7810200,IBM,0.12607443732800871
2006-01-27,80.75,81.77,80.75,81.02,6103400,IBM,0.4272671646910394
2006-01-30,80.21,81.81,80.21,81.63,5325100,IBM,0.4604828166645104
2006-01-31,81.5,82.0,81.17,81.3,6771600,IBM,0.41279909119011327
2006-02-01,80.9,82.24,80.65,81.94,5417100,IBM,0.38046392525471584
2006-02-02,81.45,81.59,80.9,81.23,6198000,IBM,0.15465861063794728
2006-02-03,80.55,80.77,79.72,79.97,9852700,IBM,0.9727491855989384
2006-02-06,79.94,79.95,78.93,79.51,9568600,IBM,0.8989669160480023
2006-02-07,79.5,80.19,79.3,79.85,5253600,IBM,0.41868337518306875
2006-02-08,80.58,80.9,80.24,80.8,5030500,IBM,0.6117060305283113
2006-02-09,80.4,80.8,79.5,80.4,7609200,IBM,0.8862580102761894
2006-02-10,80.4,81.46,80.2,81.33,5371900,IBM,0.5002693098265576
2006-02-13,81.33,81.91,80.18,80.44,5257400,IBM,0.8893982142921494
2006-02-14,80.55,81.45,80.35,81.09,6075500,IBM,0.5673849884919847
2006-02-15,80.86,81.5,80.5,80.85,5052000,IBM,0.551275009951032
2006-02-16,80.68,80.91,80.13,80.91,5310500,IBM,0.4302124426021873
2006-02-17,80.91,81.03,80.13,80.71,5298900,IBM,0.023830358066369572
2006-02-21,80.1,80.75,79.97,80.5,5839100,IBM,0.637905561546276
2006-02-22,80.0,81.65,79.97,81.35,5294300,IBM,0.9142348239029229
2006-02-23,81.2,81.34,80.04,80.2,4979900,IBM,0.23484274305081865
2006-02-24,80.65,80.65,79.85,80.1,3904100,IBM,0.042268717405182565
2006-02-27,79.97,80.89,79.95,80.63,3787200,IBM,0.20372781574027643
2006-02-28,80.1,80.55,79.71,80.24,5960700,IBM,0.119496371489895
2006-03-01,80.2,80.81,79.78,79.9,5211600,IBM,0.6604449583534858
2006-03-02,79.55,80.21,79.54,79.94,4418800,IBM,0.7792458393975573
2006-03-03,79.51,80.83,79.51,79.96,4354400,IBM,0.1005455445171699
2006-03-06,79.91,80.64,79.9,80.0,4709500,IBM,0.289364648493905
2006-03-07,80.01,80.79,79.86,80.29,4330800,IBM,0.1563382521972113
2006-03-08,80.25,81.6,80.25,81.14,5570000,IBM,0.6079734659597025
2006-03-09,81.26,81.98,80.8,81.02,4310700,IBM,0.5547978978956767
2006-03-10,81.03,82.25,81.03,81.57,4787200,IBM,0.4942502911075738
2006-03-13,81.56,82.4,81.45,81.93,4571400,IBM,0.4891091488549395
2006-03-14,81.51,82.99,81.47,82.88,4532700,IBM,0.5614738456621163
